               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.022082,           0.0064926,           0.0010025,             0.73265,              0.5579,              0.6059,             0.25778,            0.062293,           0.0071429,            0.009707,             0.00274,             0.00274,             0.00274
                 112,            0.021053,           0.0068109,            0.002092,             0.79472,             0.48329,             0.56138,             0.25038,            0.065647,           0.0071336,            0.010197,            0.002674,            0.002674,            0.002674
                 113,            0.021096,           0.0067394,           0.0015362,             0.86504,             0.51392,             0.63621,             0.27503,            0.063302,           0.0071447,            0.010305,            0.002608,            0.002608,            0.002608
                 114,            0.021079,           0.0070276,           0.0015832,             0.63576,             0.56574,             0.57817,             0.25824,            0.065186,           0.0070814,            0.010443,            0.002542,            0.002542,            0.002542
                 115,            0.019308,           0.0064994,           0.0011428,             0.72515,             0.50045,             0.56368,             0.25395,            0.063735,           0.0071324,            0.010746,            0.002476,            0.002476,            0.002476
                 116,            0.021156,           0.0063903,             0.00248,             0.73814,             0.54061,             0.59856,             0.25148,            0.063414,           0.0072001,            0.011498,             0.00241,             0.00241,             0.00241
                 117,            0.021247,           0.0058221,           0.0013313,             0.84799,              0.4948,              0.5977,             0.25885,            0.062491,           0.0072113,            0.011117,            0.002344,            0.002344,            0.002344
                 118,            0.020151,           0.0064475,           0.0013195,             0.72614,              0.5111,              0.5826,             0.25278,            0.062561,           0.0073062,             0.01079,            0.002278,            0.002278,            0.002278
                 119,            0.019833,           0.0066799,           0.0018494,             0.86974,             0.55844,             0.65907,             0.28444,            0.061695,           0.0073412,            0.010649,            0.002212,            0.002212,            0.002212
                 120,            0.020931,           0.0064315,           0.0011175,             0.73736,             0.54156,               0.595,             0.26117,            0.062855,           0.0074623,            0.010503,            0.002146,            0.002146,            0.002146
                 121,            0.020215,           0.0065386,           0.0014024,             0.81272,              0.4891,             0.57234,             0.25645,            0.063158,           0.0075353,            0.010511,             0.00208,             0.00208,             0.00208
                 122,            0.019926,           0.0060879,           0.0010754,             0.79372,             0.48997,             0.56135,             0.24913,            0.062121,           0.0076549,            0.010651,            0.002014,            0.002014,            0.002014
                 123,            0.019085,           0.0066628,          0.00093767,             0.68873,             0.50508,              0.5456,             0.24864,            0.063116,           0.0077479,            0.010783,            0.001948,            0.001948,            0.001948
                 124,            0.019233,           0.0059408,           0.0012475,             0.68068,             0.52106,             0.54671,             0.23609,            0.064112,           0.0076409,            0.010921,            0.001882,            0.001882,            0.001882
                 125,            0.019334,           0.0066699,           0.0010674,             0.68211,             0.54469,             0.58068,             0.24003,            0.062011,           0.0076006,            0.010869,            0.001816,            0.001816,            0.001816
